SampleID	PrimerPairID	BarcodeID	ProjectID	MiSeqRun
Aster_foliaceus_var_apricus_14583	rbcL_5	Echo236	rbcL	150807
Aster_foliaceus_var_apricus_14648	trnT	India397	trn_ab	150807
Aster_foliaceus_var_apricus_14648	trnLF	Kilo506	trn_cf	150807
Aster_foliaceus_var_apricus_14648	rbcL_5	Alpha13	rbcL	150807
Aster_occidentalis_var_occidentalis_14420	ITS	Bravo83	ITS	150807
Aster_occidentalis_var_occidentalis_14420	rbcL_5	Hotel364	rbcL	150807
Aster_occidentalis_var_occidentalis_14420	trnLF	Delta177	trn_cf	150807
Aster_occidentalis_var_occidentalis_14420	trnT	Delta172	trn_ab	150807
Astragalus_alpinus_14427	rbcL_5	Hotel360	rbcL	150807
Astragalus_alpinus_14427	ITS	Bravo94	ITS	150807
Astragalus_alpinus_14427	trnLF	Delta188	trn_cf	150807
Astragalus_alpinus_14427	trnT	Delta168	trn_ab	150807
Astragalus_cf_eucosmus_14598	ITS	Foxtrot259	ITS	150807
Astragalus_cf_eucosmus_14598	rbcL_5	Foxtrot244	rbcL	150807
Astragalus_cf_eucosmus_14598	trnT	Foxtrot244	trn_ab	150807
Astragalus_cf_eucosmus_14598	trnLF	Foxtrot257	trn_cf	150807
Astragalus_kentrophyta_14456	rbcL_5	Echo199	rbcL	150807
Astragalus_kentrophyta_14456	trnLF	Echo219	trn_cf	150807
Astragalus_kentrophyta_14456	trnT	Echo199	trn_ab	150807
Astragalus_kentrophyta_14456	ITS	Echo221	ITS	150807
Astragalus_kentrophyta_14620	rbcL_5	Foxtrot263	rbcL	150807
Astragalus_kentrophyta_14620	trnT	Foxtrot263	trn_ab	150807
Astragalus_kentrophyta_14620	trnLF	Foxtrot276	trn_cf	150807
Astragalus_kentrophyta_14620	ITS	Foxtrot278	ITS	150807
Astragalus_kentrophyta_14701	trnT	Juliett440	trn_ab	150807
Astragalus_kentrophyta_14701	rbcL_5	Bravo56	rbcL	150807
Astragalus_kentrophyta_14701	trnLF	Lima549	trn_cf	150807
Bistorta_bistortoides_14417	trnT	Delta163	trn_ab	150807
Bistorta_bistortoides_14417	ITS	Bravo89	ITS	150807
Bistorta_bistortoides_14417	rbcL_5	Hotel355	rbcL	150807
Bistorta_bistortoides_14417	trnLF	Delta175	trn_cf	150807
Bistorta_bistortoides_14432	trnT	Delta186	trn_ab	150807
Bistorta_bistortoides_14432	ITS	Echo201	ITS	150807
Bistorta_bistortoides_14432	trnLF	Delta183	trn_cf	150807
Bistorta_bistortoides_14432	rbcL_5	Hotel378	rbcL	150807
Bistorta_bistortoides_14584	trnT	Echo229	trn_ab	150807
Bistorta_bistortoides_14584	ITS	Foxtrot244	ITS	150807
Bistorta_bistortoides_14584	trnLF	Foxtrot242	trn_cf	150807
Bistorta_bistortoides_14584	rbcL_5	Echo229	rbcL	150807
Bupleurum_americanum_13560	trnT	Golf316	trn_ab	150807
Bupleurum_americanum_13560	rbcL_5	Kilo508	rbcL	150807
Bupleurum_americanum_14364	trnLF	Delta157	trn_cf	150807
Bupleurum_americanum_14364	rbcL_5	Hotel337	rbcL	150807
Bupleurum_americanum_14364	trnT	Delta145	trn_ab	150807
Bupleurum_americanum_14364	ITS	Bravo55	ITS	150807
Carex_pachycarpa_14326	rbcL_5	Golf294	rbcL	150807
Carex_pachycarpa_14326	trnLF	Charlie114	trn_cf	150807
Carex_pachycarpa_14326	trnT	Charlie102	trn_ab	150807
Carex_pachycarpa_14326	ITS	Alpha25	ITS	150807
Carex_straminiformis_14468	trnLF	Echo233	trn_cf	150807
Carex_straminiformis_14468	rbcL_5	Echo213	rbcL	150807
Carex_straminiformis_14468	trnT	Echo213	trn_ab	150807
Carex_straminiformis_14468	ITS	Echo235	ITS	150807
Carex_straminiformis_14635	trnLF	Kilo484	trn_cf	150807
Carex_straminiformis_14635	rbcL_5	Foxtrot286	rbcL	150807
Carex_straminiformis_14635	trnT	Foxtrot286	trn_ab	150807
Carex_nardina_14603	trnLF	Foxtrot267	trn_cf	150807
Carex_nardina_14603	trnT	Foxtrot254	trn_ab	150807
Carex_nardina_14603	ITS	Foxtrot269	ITS	150807
Carex_nardina_14603	rbcL_5	Foxtrot254	rbcL	150807
Carex_cf_microptera_14638	trnLF	Kilo493	trn_cf	150807
Carex_cf_microptera_14638	trnT	Foxtrot280	trn_ab	150807
