"","Row.names","species","ITS","trnTLF","rbcL","matK","atpB","ndhF","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"93","Hulsea_algida","Hulsea_algida","miseq|13545","miseq|13545","miseq|14365","miseq|13545","miseq|13575","miseq|13545",0,1,1,0,1,1,1,1,1,1
"94","Ivesia_gordonii","Ivesia_gordonii","miseq|13559","miseq|13559","miseq|14613","miseq|13559","miseq|14024","miseq|13559",1,0,0,1,0,1,0,0,1,1
"95","Juncus_drummondii","Juncus_drummondii",NA,"miseq|14129","miseq|14025",NA,"miseq|14129","miseq|14590",1,0,0,0,1,1,1,0,0,1
"96","Juncus_parryi","Juncus_parryi","miseq|14440","miseq|14263","miseq|14658",NA,"miseq|14228",NA,1,0,1,1,1,0,1,1,1,0
"97","Juniperus_communis","Juniperus_communis",NA,"miseq|14031",NA,NA,"ncbi|56236589","ncbi|62467606",1,0,1,0,1,0,1,0,0,1
"98","Lewisia_pygmaea","Lewisia_pygmaea","ncbi|95118472","miseq|14010","miseq|14010",NA,"miseq|14010","miseq|14010",1,0,0,0,0,1,0,0,0,1
"99","Lomatium_idahoense","Lomatium_idahoense","miseq|14134","miseq|14134",NA,"ncbi|640929554",NA,"miseq|14134",0,0,1,0,1,0,0,0,0,0
"100","Lupinus_argenteus_var_depressus","Lupinus_argenteus","miseq|14647","ncbi|90903926",NA,"ncbi|37518807","miseq|14647","miseq|14408",1,0,1,1,0,0,0,1,0,0
"101","Luzula_piperi","Luzula_piperi","miseq|13572","miseq|13572",NA,NA,"miseq|13572","miseq|14295",0,1,0,0,0,0,1,0,0,0
"102","Luzula_spicata","Luzula_spicata","miseq|13547","miseq|13547","miseq|14637","ncbi|675272435","miseq|14003","miseq|14003",0,1,1,0,0,1,0,0,0,1
"103","Micranthes_ferruginea","Micranthes_ferruginea","ncbi|532159323","ncbi|260080398",NA,"ncbi|845667",NA,NA,0,0,1,0,0,0,0,0,0,0
"104","Musineon_divaricatum","Musineon_divaricatum","miseq|14236",NA,NA,"miseq|14236","miseq|14236","miseq|14236",0,0,0,0,1,0,0,0,0,0
"105","Oxyria_digyna","Oxyria_digyna","ncbi|392612348","miseq|13580","miseq|14329","miseq|14329","miseq|14125","ncbi|218203416",0,1,1,1,1,1,1,1,1,0
"106","Oxytropis_deflexa","Oxytropis_deflexa","miseq|14691","miseq|14691",NA,NA,"miseq|14691","miseq|14678",0,0,0,1,0,0,0,0,0,0
"107","Oxytropis_parryi","Oxytropis_parryi","miseq|14695",NA,NA,"ncbi|330370529",NA,"miseq|14695",0,0,0,1,0,0,0,0,0,0
"108","Packera_cymbalaria","Packera_cymbalaria",NA,NA,NA,NA,"miseq|14579","miseq|14579",1,0,0,0,0,1,0,0,0,0
"109","Packera_subnuda","Packera_subnuda","ncbi|5080722",NA,NA,NA,NA,"miseq|14580",1,0,0,0,0,1,0,0,0,0
"110","Packera_werneriifolia","Packera_werneriifolia",NA,NA,"miseq|14672",NA,"miseq|14243","miseq|14243",1,0,1,1,0,0,0,0,1,0
"111","Parnassia_fimbriata","Parnassia_fimbriata","miseq|14370",NA,"ncbi|7240411","miseq|14370","miseq|14370","miseq|14370",1,0,0,0,0,0,0,1,0,0
"112","Pedicularis_groenlandica","Pedicularis_groenlandica","ncbi|663082187","ncbi|336041901","miseq|14410","miseq|14410","miseq|14410","miseq|14410",1,0,0,0,0,1,0,1,0,0
"113","Penstemon_fruticosus","Penstemon_fruticosus","miseq|14676",NA,"miseq|14676","miseq|14676",NA,"miseq|14676",0,0,0,1,0,0,0,0,0,0
"114","Penstemon_montanus_var_idahoensis","Penstemon_montanus","miseq|13570","miseq|13570","miseq|13570","miseq|13570","miseq|13570","miseq|13570",0,1,1,0,1,0,0,0,0,0
"115","Penstemon_procerus_var_formosus","Penstemon_procerus","ncbi|110666676",NA,"miseq|14447",NA,"miseq|14447","miseq|14447",0,0,0,0,0,0,0,1,0,0
"116","Phacelia_hastata_var_alpina","Phacelia_hastata","ncbi|49037339",NA,NA,NA,NA,"miseq|14245",0,0,1,0,0,0,0,1,0,0
"117","Phleum_alpinum","Phleum_alpinum","ncbi|961593651","ncbi|961593702","miseq|14594","ncbi|871330580","miseq|14423","miseq|14423",1,0,0,0,0,1,0,1,0,0
"118","Phlox","Phlox_NA","miseq|14606","miseq|14606","miseq|14606","miseq|14606","miseq|14606","miseq|14606",0,0,0,1,0,1,0,0,0,0
"119","Phlox_condensata","Phlox_condensata","miseq|14020","miseq|14020",NA,"miseq|14020",NA,"miseq|14020",1,0,1,1,1,1,0,1,0,1
"120","Phlox_diffusa","Phlox_diffusa","miseq|14624",NA,"miseq|14624","miseq|14624","miseq|14624","miseq|14624",0,0,0,0,0,1,0,0,0,0
"121","Phyllodoce_empetriformis","Phyllodoce_empetriformis","miseq|14021","miseq|14021","miseq|14021","miseq|14021","miseq|14021","miseq|14021",1,0,0,0,1,1,1,1,1,1
"122","Phyllodoce_glanduliflora","Phyllodoce_glanduliflora","miseq|14023","miseq|14023","miseq|14023","miseq|14023","miseq|14023","miseq|14023",1,0,0,0,0,1,1,0,0,1
"123","Picea_engelmannii","Picea_engelmannii",NA,"miseq|13571","miseq|13571","ncbi|1027894008","miseq|13571",NA,0,1,0,0,0,0,0,0,0,0
"124","Pinus_albicaulis","Pinus_albicaulis","ncbi|6715570","miseq|13573","ncbi|45862048","ncbi|148832373","miseq|14030",NA,1,1,0,0,1,0,0,0,1,1
"125","Poa_fendleriana_ssp_fendleriana","Poa_fendleriana","miseq|14132","miseq|14132","miseq|14132",NA,"miseq|14132","miseq|14132",0,0,1,0,1,0,0,0,1,0
"126","Poa_secunda","Poa_secunda","miseq|14007","miseq|13568",NA,NA,"miseq|13568","miseq|13568",1,1,1,1,0,1,0,1,1,1
"127","Polemonium_viscosum","Polemonium_viscosum","miseq|13554","miseq|13554","miseq|14353","miseq|13554","miseq|14633","miseq|13554",0,0,1,1,0,1,0,1,1,1
"128","Potentilla_brevifolia","Potentilla_brevifolia","miseq|14015","ncbi|337294395",NA,"miseq|14015","miseq|14015","miseq|14015",1,0,0,0,0,0,1,0,0,1
"129","Potentilla_glaucophylla_var_glaucophylla","Potentilla_glaucophylla","miseq|14593","ncbi|260182649","miseq|14593","miseq|14593","miseq|14593","miseq|14593",1,0,0,1,0,1,0,0,0,1
"130","Ranunculus_eschscholtzii","Ranunculus_eschscholtzii","miseq|14027","miseq|14027",NA,"miseq|14027","miseq|14027","miseq|14027",1,0,1,0,0,0,0,0,0,1
"131","Ribes_lacustre","Ribes_lacustre","miseq|14436","miseq|14002","miseq|14618","miseq|14002","miseq|14002","miseq|14002",0,1,1,0,0,1,0,1,0,0
"132","Sabulina_rubella","Sabulina_rubella","miseq|14697",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0
"133","Salix_arctica","Salix_arctica","ncbi|1015860089","ncbi|111380132","ncbi|667487186","miseq|14421","miseq|14421","miseq|14421",1,0,0,0,0,1,0,1,0,0
