"","Tip.Label.160511","Meadow","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"229","Castilleja_rhexiifolia_14406",1,0,0,0,0,0,0,1,0,0
"230","Parnassia_fimbriata_14370",1,0,0,0,0,0,0,1,0,0
"231","Unknown_14407",1,0,0,0,0,0,0,1,0,0
"232","Lupinus_argenteus_var_depressus_14408",1,0,0,0,0,0,0,1,0,0
"233","Epilobium_alpinum_14409",1,0,0,0,0,0,0,1,0,0
"234","Pedicularis_groenlandica_14410",1,0,0,0,0,0,0,1,0,0
"235","Unknown_14411",1,0,0,0,0,0,0,1,0,0
"236","Phyllodoce_empetriformis_14412",1,0,0,0,0,0,0,1,0,0
"237","Erythranthe_tilingii_14413",1,0,0,0,0,0,0,1,0,0
"238","Gentiana_calycosa_14414",1,0,0,0,0,0,0,1,0,0
"239","Dasiphora_fruticosa_14415",1,0,0,0,0,0,0,1,0,0
"240","Arnica_chamissonis_14416",1,0,0,0,0,0,0,1,0,0
"241","Bistorta_bistortoides_14417",1,0,0,0,0,0,0,1,0,0
"242","Antennaria_corymbosa_14418",1,0,0,0,0,0,0,1,0,0
"243","Solidago_multiradiata_14419",1,0,0,0,0,0,0,1,0,0
"244","Aster_occidentalis_var_occidentalis_14420",1,0,0,0,0,0,0,1,0,0
"245","Salix_arctica_14421",1,0,0,0,0,0,0,1,0,0
"246","Phyllodoce_empetriformis_14422",1,0,0,0,0,0,0,1,0,0
"247","Unknown_14423",1,0,0,0,0,0,0,1,0,0
"248","Saxifraga_mertensiana_14424",1,0,0,0,0,0,0,1,0,0
"249","Sibbaldia_procumbens_14425",1,0,0,0,0,0,0,1,0,0
"250","Potentilla_glaucophylla_var_glaucophylla_14426",0,0,0,0,0,0,0,1,0,0
"251","Astragalus_alpinus_14427",0,0,0,0,0,0,0,1,0,0
"252","Aquilegia_flavescens_14428",0,0,0,0,0,0,0,1,0,0
"253","Aster_foliaceus_var_apricus_14430",0,0,0,0,0,0,0,1,0,0
"254","Achillea_millefolium_var_alpicola_14431",0,0,0,0,0,0,0,1,0,0
"255","Bistorta_bistortoides_14432",0,0,0,0,0,0,0,1,0,0
"256","Chaenactis_alpina_14433",0,0,0,0,0,0,0,1,0,0
"257","Cistanthe_umbellata_14434",0,0,0,0,0,0,0,1,0,0
"258","Cirsium_scariosum_14435",0,0,0,0,0,0,0,1,0,0
"259","Ribes_lacustre_14436",0,0,0,0,0,0,0,1,0,0
"260","Eremogone_aculeata_14438",0,0,0,0,0,0,0,1,0,0
"261","Unknown_14439",0,0,0,0,0,0,0,1,0,0
"262","Juncus_sp_14440",0,0,0,0,0,0,0,1,0,0
"263","Potentilla_glandulosa_14442",0,0,0,0,0,0,0,1,0,0
"264","Taraxacum_lyratum_14443",0,0,0,0,0,0,0,1,0,0
"265","Sedum_lanceolatum_var_lanceolatum_14444",0,0,0,0,0,0,0,1,0,0
"266","Oxyria_digyna_14445",0,0,0,0,0,0,0,1,0,0
"267","Antennaria_umbrinella_14446",0,0,0,0,0,0,0,1,0,0
