Annotated_Name,Annotated_Tip,Tip Label 190117,Tip Label 161228,Tip Label 160511,Species ,MiSeq ,PHLAWD,DNA log Species Name,DNA accession #,Tube ,Extraction Date,Collection ,Date Collected,Locality,Summit,Range,Meadow,Occurrence,Elevation (ft),WGS N,WGS W
Antennaria_rosea,Antennaria_rosea,Antennaria_rosea_14273,Antennaria_rosea_14273,Antennaria_rosea_14273,Antennaria_rosea,14273,Antennaria_rosea,Antennaria rosea,2014-273,14273,19-May-14,Marx 2013-179,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_13540,Antennaria_umbrinella_13540,Antennaria_umbrinella_13540,Antennaria_umbrinella,13540,Antennaria_umbrinella,Antennaria umbrinella,2013-540,13540,5-Dec-13,Marx 2012-005,31-Jul-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,Thompson Peak,Sawtooth Mountains,0,1,10661,44.14139,-115.01
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14446,Antennaria_umbrinella_14446,Antennaria_umbrinella_14446,Antennaria_umbrinella,14446,Antennaria_umbrinella,Antennaria umbrinella,2014-446,14446,10-Jun-14,Marx 2013-244,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14460,Antennaria_umbrinella_14460,Antennaria_umbrinella_14460,Antennaria_umbrinella,14460,Antennaria_umbrinella,Antennaria umbrinella,2014-460,14460,10-Jun-14,Marx 2013-258,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14601,Antennaria_umbrinella_14601,Antennaria_umbrinella_14601,Antennaria_umbrinella,14601,Antennaria_umbrinella,Antennaria umbrinella,2014-601,14601,12-Jun-14,Marx 2013-300,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: south facing talus/boulder field from summit,Hyndman Peak,Pioneer Mountians,0,1,12009,43.74938,-114.1312
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14223,Antennaria_umbrinella_14223,Antennaria_umbrinella_14223,Antennaria_umbrinella,14223,Antennaria_umbrinella,Antennaria umbrinella,2014-223,14223,20-Feb-14,Zion  2012-025,7-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,Horstmann Peak,Sawtooth Mountains,0,1,10350,44.1117,-115.00318
Aquilegia_flavescens,Aquilegia_flavescens,Aquilegia_flavescens_14428,Aquilegia_flavescens_14428,Aquilegia_flavescens_14428,Aquilegia_flavescens,14428,Aquilegia_flavescens,Aquilegia flavescens,2014-428,14428,6-Jun-14,Marx 2013-224,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942
Arabis_cf_lemmonii,Arabis_cf_lemmonii,Arabis_cf_lemonii_13546,Arabis_cf_lemonii_13546,Arabis_cf_lemonii_13546,Arabis_cf_lemonii,13546,Boechera_lemmonii,Arabis c.f lemonii ,2013-546,13546,10-Dec-13,Marx 2012-011,31-Jul-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,Thompson Peak,Sawtooth Mountains,0,1,10661,44.14139,-115.01
Arabis_cf_lemmonii,Arabis_cf_lemmonii,Arabis_cf_lemmonii_14345,Arabis_cf_lemmonii_14345,Arabis_cf_lemmonii_14345,Arabis_cf_lemmonii,14345,Boechera_lemmonii,Arabis c.f lemmonii,2014-345,14345,2-Jun-14,Marx 2013-114,22-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountians: Snowyside Peak: along west face and south ridge line (trail to summit),Snowyside Peak,Sawtooth Mountains,0,1,10651,43.93825,-114.97142
Arabis_cf_lemmonii,Arabis_cf_lemmonii,Arabis_cf_lemmonii_14266,Arabis_cf_lemmonii_14266,Arabis_cf_lemmonii_14266,Arabis_cf_lemmonii,14266,Boechera_lemmonii,Arabis c.f lemmonii,2014-266,14266,19-May-14,Marx 2013-172,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
Arabis_cf_lemmonii,NA,NA,NA,NA,,,Boechera_lemmonii,,,,,Marx 2013-195,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
Arabis_cf_lemmonii,Arabis_cf_lemmonii,Arabis_cf_lemmonii_14454,Arabis_cf_lemmonii_14454,Arabis_sp_14454,Arabis_sp,14454,Boechera_lemmonii,Arabis sp.,2014-454,14454,10-Jun-14,Marx 2013-252,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942
Arabis_cf_lemmonii,Arabis_cf_lemmonii,Arabis_cf_lemonii_14630,Arabis_cf_lemonii_14630,Arabis_cf_lemonii_14630,Arabis_cf_lemonii,14630,Boechera_lemmonii,Arabis c.f lemonii,2014-630,14630,18-Jun-14,Marx 2013-329,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: south facing talus/boulder field from summit,Hyndman Peak,Pioneer Mountians,0,1,12009,43.74938,-114.1312
Arabis_cf_lemmonii,Arabis_cf_lemmonii,Arabis_cf_lemonii_14668,Arabis_cf_lemonii_14668,Arabis_cf_lemonii_14668,Arabis_cf_lemonii,14668,Boechera_lemmonii,Arabis c.f lemonii ,2014-668,14668,25-Jun-14,Marx 2013-370,14-Aug-13,Idaho: Sawtooth National Forest: White Cloud Mountains: D.O. Lee Peak: collected in alpine meadow,D.O. Lee Peak,White Cloud Mountains,1,1,9814,44.10969,-114.63886
Arabis_cf_lemmonii,Arabis_cf_lemmonii,Arabis_cf_lemmonii_14683,Arabis_cf_lemmonii_14683,Arabis_sp_14683,Arabis_sp,14683,Boechera_lemmonii,Arabis sp. ,2014-683,14683,25-Jun-14,Marx 2013-386,14-Aug-13,"Idaho: Sawtooth National Forest: White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859
Arabis_microphylla,Arabis_microphylla,Arabis_microphylla_14011,Arabis_microphylla_14011,Arabis_microphylla_14011,Arabis_microphylla,14011,Boechera_microphylla,Arabis microphylla,2014-011,14011,7-Jan-14,Clevenger 2012-002,1-Aug-12,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",Thompson Peak,Sawtooth Mountains,1,1,10105,44.14219,-115.01358
Arabis_microphylla,NA,NA,NA,NA,,,Boechera_microphylla,,,,,Marx 2013-064,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
Arabis_microphylla,Arabis_microphylla,Arabis_microphylla_14306,Arabis_microphylla_14306,Arabis_microphylla_14306,Arabis_microphylla,14306,Boechera_microphylla,Arabis microphylla,2014-306,14306,26-May-14,Marx 2013-075,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
Arabis_microphylla,NA,NA,NA,NA,,,Boechera_microphylla,,,,,Marx 2013-196,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
Arnica_chamissonis,Arnica_chamissonis,Arnica_chamissonis_14416,Arnica_chamissonis_14416,Arnica_chamissonis_14416,Arnica_chamissonis,14416,,Arnica chamissonis,2014-416,14416,6-Jun-14,Marx 2013-210,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: Meadow above treeline,Salzburger Spitzl,Pioneer Mountians,1,1,10089,43.76619,-114.15839
Arnica_chamissonis,Arnica_chamissonis,Arnica_chamissonis_14582,Arnica_chamissonis_14582,Arnica_chamissonis_14582,Arnica_chamissonis,14582,,Arnica chamissonis,2014-582,14582,12-Jun-14,Marx 2013-281,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: in meadow above treeline,Hyndman Peak,Pioneer Mountians,1,1,10770,43.74357,-114.12403
