Annotated Name,Tip Label 160511,Species ,Extraction #,PHLAWD,DNA Log Species Name,Collection #,ID for database,Date Collected,Summit,Occurrence,Range,Meadow,Locality Detail,Elevation (ft.),WGS N,WGS W,Leaf Sample
Ranunculus_eschscholtzii_var_eschscholtzii,Ranunculus_eschscholtzii_var_eschscholtzii_14027,Ranunculus_eschscholtzii_var_eschscholtzii,14027,Ranunculus_eschscholtzii,Ranunculus eschscholtzii var. eschscholtzii,Clevenger 2012-020,Ranunculus eschscholtzii,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Synthyris_pinnatifida_var_cenescens,Synthyris_pinnatifida_var_cenescens_14028,Synthyris_pinnatifida_var_cenescens,14028,Veronica_paysoni,Synthyris pinnatifida var. cenescens,Clevenger 2012-021,Synthyris pinnatifida var. cenescens,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Abies_lasiocarpa,Abies_lasiocarpa_14029,Abies_lasiocarpa,14029,Abies_lasiocarpa,Abies lasiocarpa,Clevenger 2012-022,Abies lasiocarpa,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Pinus_albicaulis,Pinus_albicaulis_14030,Pinus_albicaulis,14030,Pinus_albicaulis,Pinus albicaulis,Clevenger 2012-023,Pinus albicaulis,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Juniperus_communis,Juniperus_communis_14031,Juniperus_communis,14031,Juniperus_communis,Juniperus communis ,Clevenger 2012-024,Juniperus communis ,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Gentiana_calycosa_var_obtusiloba,Gentiana_calycosa_var_obtusiloba_14032,Gentiana_calycosa_var_obtusiloba,14032,,Gentiana calycosa var. obtusiloba,Clevenger 2012-025,Gentiana calycosa,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
NA,NA,NA,NA,,Senecio fremontii,Clevenger 2012-026,Senecio fremontii,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Claytonia_megarhiza_var_bellidifolia,Claytonia_megarhiza_var_bellidifolia_14034,Claytonia_megarhiza_var_bellidifolia,14034,Claytonia_megarhiza,Claytonia megarhiza var. bellidifolia ,Clevenger 2012-027,Claytonia megarhiza,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Epilobium_alpinum_var_clavatum,Epilobium_alpinum_var_clavatum_14123,Epilobium_alpinum_var_clavatum,14123,,Epilobium alpinum var. clavatum,Zion  2012-001,Epilobium alpinum,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Solidago_multiradiata,Solidago_multiradiata_14124,Solidago_multiradiata,14124,Solidago_multiradiata,Solidago multiradiata,Zion  2012-002,Solidago multiradiata,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Oxyria_digyna,Oxyria_digyna_14125,Oxyria_digyna,14125,Oxyria_digyna,Oxyria digyna,Zion  2012-003,Oxyria digyna,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Eriogonum_pyrolaefolium_var_coryphaeum,Eriogonum_pyrolaefolium_var_coryphaeum_14126,Eriogonum_pyrolaefolium_var_coryphaeum,14126,,Eriogonum pyrolaefolium var. coryphaeum ,Zion  2012-004,Eriogonum pyrolaefolium var. coryphaeum ,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
NA,NA,NA,NA,,Senecio fremontii,Zion  2012-005,Senecio fremontii,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Arnica_latifolia_var_gracilis,Arnica_latifolia_var_gracilis_14128,Arnica_latifolia_var_gracilis,14128,,Arnica latifolia var. gracilis,Zion  2012-006,Arnica latifolia,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
