"","species","ITS","trnTLF","rbcL","matK","atpB","ndhF"
"Parnassia_fimbriata","Parnassia_fimbriata","miseq|14370",NA,"ncbi|7240411","miseq|14370","miseq|14370","miseq|14370"
"Pedicularis_groenlandica","Pedicularis_groenlandica","ncbi|663082187","ncbi|336041901","miseq|14410","miseq|14410","miseq|14410","miseq|14410"
"Penstemon_fruticosus","Penstemon_fruticosus","miseq|14676",NA,"miseq|14676","miseq|14676",NA,"miseq|14676"
"Penstemon_montanus_var_idahoensis","Penstemon_montanus","miseq|13570","miseq|13570","miseq|13570","miseq|13570","miseq|13570","miseq|13570"
"Penstemon_procerus_var_formosus","Penstemon_procerus","ncbi|110666676",NA,"miseq|14447",NA,"miseq|14447","miseq|14447"
"Phacelia_hastata_var_alpina","Phacelia_hastata","ncbi|49037339",NA,NA,NA,NA,"miseq|14245"
"Phleum_alpinum","Phleum_alpinum","ncbi|961593651","ncbi|961593702","miseq|14594","ncbi|871330580","miseq|14423","miseq|14423"
"Phlox","Phlox_NA","miseq|14606","miseq|14606","miseq|14606","miseq|14606","miseq|14606","miseq|14606"
"Phlox_condensata","Phlox_condensata","miseq|14020","miseq|14020",NA,"miseq|14020",NA,"miseq|14020"
"Phlox_diffusa","Phlox_diffusa","miseq|14624",NA,"miseq|14624","miseq|14624","miseq|14624","miseq|14624"
"Phyllodoce_empetriformis","Phyllodoce_empetriformis","miseq|14021","miseq|14021","miseq|14021","miseq|14021","miseq|14021","miseq|14021"
"Phyllodoce_glanduliflora","Phyllodoce_glanduliflora","miseq|14023","miseq|14023","miseq|14023","miseq|14023","miseq|14023","miseq|14023"
"Picea_engelmannii","Picea_engelmannii",NA,"miseq|13571","miseq|13571","ncbi|1027894008","miseq|13571",NA
"Pinus_albicaulis","Pinus_albicaulis","ncbi|6715570","miseq|13573","ncbi|45862048","ncbi|148832373","miseq|14030",NA
"Poa_fendleriana_ssp_fendleriana","Poa_fendleriana","miseq|14132","miseq|14132","miseq|14132",NA,"miseq|14132","miseq|14132"
"Poa_secunda","Poa_secunda","miseq|14007","miseq|13568",NA,NA,"miseq|13568","miseq|13568"
"Polemonium_viscosum","Polemonium_viscosum","miseq|13554","miseq|13554","miseq|14353","miseq|13554","miseq|14633","miseq|13554"
"Potentilla_brevifolia","Potentilla_brevifolia","miseq|14015","ncbi|337294395",NA,"miseq|14015","miseq|14015","miseq|14015"
"Potentilla_glaucophylla_var_glaucophylla","Potentilla_glaucophylla","miseq|14593","ncbi|260182649","miseq|14593","miseq|14593","miseq|14593","miseq|14593"
"Ranunculus_eschscholtzii","Ranunculus_eschscholtzii","miseq|14027","miseq|14027",NA,"miseq|14027","miseq|14027","miseq|14027"
"Ribes_lacustre","Ribes_lacustre","miseq|14436","miseq|14002","miseq|14618","miseq|14002","miseq|14002","miseq|14002"
"Sabulina_rubella","Sabulina_rubella","miseq|14697",NA,NA,NA,NA,NA
"Salix_arctica","Salix_arctica","ncbi|1015860089","ncbi|111380132","ncbi|667487186","miseq|14421","miseq|14421","miseq|14421"
"Salix_nivalis","Salix_nivalis","ncbi|1015860215",NA,"miseq|14660","miseq|14660",NA,"miseq|14660"
"Saxifraga_bronchialis","Saxifraga_bronchialis","miseq|14006","miseq|14006",NA,"miseq|14006","miseq|14006","miseq|14006"
"Saxifraga_mertensiana","Saxifraga_mertensiana","ncbi|32395745","miseq|14424","ncbi|459084","miseq|14424","miseq|14570","miseq|14424"
"Saxifraga_oppositifolia","Saxifraga_oppositifolia","miseq|14708","ncbi|14248852","ncbi|459086","miseq|14708",NA,NA
"Sedum_debile","Sedum_debile",NA,NA,NA,NA,NA,"miseq|14272"
"Sedum_lanceolatum","Sedum_lanceolatum","miseq|13576","miseq|13539","miseq|14137",NA,NA,"miseq|13539"
"Selaginella_densa","Selaginella_densa","ncbi|932248466",NA,"ncbi|27448379",NA,NA,NA
"Selaginella_watsonii","Selaginella_watsonii","ncbi|932248628",NA,"ncbi|27448411",NA,NA,NA
"Senecio_fremontii","Senecio_fremontii","miseq|14005",NA,NA,NA,NA,"miseq|14334"
"Sibbaldia_procumbens","Sibbaldia_procumbens","miseq|13574","miseq|14014","ncbi|957741012","ncbi|459930756","miseq|14227","miseq|14227"
"Silene_acaulis","Silene_acaulis","miseq|13555","ncbi|239837528","ncbi|379033973","ncbi|156125845",NA,"miseq|13555"
"Smelowskia_americana","Smelowskia_americana","miseq|13550","miseq|13550","miseq|14465","miseq|13550","miseq|13550","miseq|13550"
"Solidago_multiradiata","Solidago_multiradiata","miseq|14124","miseq|14124","miseq|14124","miseq|14124","miseq|14653","miseq|14124"
"Stenotus_acaulis","Stenotus_acaulis","miseq|14278",NA,"miseq|14704","miseq|14278",NA,"miseq|14278"
"Symphyotrichum_foliaceum_var_apricum","Symphyotrichum_foliaceum","miseq|14583",NA,NA,"miseq|14430","miseq|14430","miseq|14430"
"Symphyotrichum_spathulatum_var_spathulatum","Symphyotrichum_spathulatum","miseq|14420",NA,NA,"miseq|14420",NA,"miseq|14420"
"Synthyris_dissecta","Synthyris_dissecta","miseq|14028","miseq|14028","miseq|14028",NA,"miseq|14028","miseq|14028"
"Taraxacum_scopulorum","Taraxacum_scopulorum",NA,NA,NA,"miseq|14443","miseq|14443","miseq|14443"
"Tonestus_lyallii","Tonestus_lyallii","miseq|14362",NA,NA,"miseq|14362","miseq|14622","miseq|14308"
"Trisetum_spicatum","Trisetum_spicatum","miseq|13552","miseq|13552","miseq|14692","ncbi|459931168","miseq|14138","miseq|13552"
"Veronica_wormskjoldii","Veronica_wormskjoldii","miseq|14587","ncbi|61675934","miseq|14587","miseq|14587","miseq|14587","miseq|14587"
"Viola_adunca","Viola_adunca","ncbi|359389959","ncbi|261863618","ncbi|424949998","miseq|14576","miseq|14576",NA
