"","SampleID","PrimerPairID","BarcodeID","ProjectID","MiSeqRun"
"259","Antennaria_corymbosa_14418","matK2","Hotel363","matK_3F_3R",160222
"260","Antennaria_corymbosa_14418","ndhF3","Hotel363","ndhF_1318_3",160222
"261","Antennaria_corymbosa_14418","trnT","Delta171","trn_ab",150807
"262","Antennaria_corymbosa_14418","ndhF2","Foxtrot267","ndhF_803_1318",160222
"263","Antennaria_corymbosa_14418","trnLF","Delta168","trn_cf",150807
"264","Antennaria_corymbosa_14418","matK","Foxtrot267","matK_1F_4R",160222
"265","Antennaria_lanata_14016","atpB2","Lima541","atpB_S766R_S3",160222
"266","Antennaria_lanata_14016","atpB","Bravo61","atpB_S1494R_S611",160222
"267","Antennaria_lanata_14016","trnLF","Hotel351","trnL_cf",141219
"268","Antennaria_lanata_14016","rbcL_5","Lima541","rbcL",150807
"269","Antennaria_lanata_14016","ndhF2","Bravo61","ndhF_803_1318",160222
"270","Antennaria_lanata_14016","ndhF","Lima541","ndhF_5_803",160222
"271","Antennaria_lanata_14016","matK2","Lima541","matK_3F_3R",160222
"272","Antennaria_lanata_14016","trnT","Hotel349","trn_ab",150807
"273","Antennaria_lanata_14016","ITS","Foxtrot257","ITS",141219
"274","Antennaria_lanata_14016","matK","Bravo61","matK_1F_4R",160222
"275","Antennaria_lanata_14016","ndhF3","Lima541","ndhF_1318_3",160222
"276","Antennaria_lanata_14312","atpB2","Juliett478","atpB_S766R_S3",160222
"277","Antennaria_lanata_14312","ndhF2","Delta190","ndhF_803_1318",160222
"278","Antennaria_lanata_14312","matK","Delta190","matK_1F_4R",160222
"279","Antennaria_lanata_14312","trnT","Bravo94","trn_ab",150807
"280","Antennaria_lanata_14312","ndhF","Juliett478","ndhF_5_803",160222
"281","Antennaria_lanata_14312","rbcL_5","Juliett478","rbcL",150807
"282","Antennaria_lanata_14312","matK2","Juliett478","matK_3F_3R",160222
"283","Antennaria_lanata_14312","trnLF","Charlie99","trn_cf",150807
"284","Antennaria_lanata_14312","ITS","Alpha10","ITS",150807
"285","Antennaria_lanata_14312","atpB","Delta190","atpB_S1494R_S611",160222
"286","Antennaria_lanata_14312","ndhF3","Juliett478","ndhF_1318_3",160222
"287","Antennaria_microphylla_14004","atpB2","Kilo520","atpB_S766R_S3",160222
"288","Antennaria_microphylla_14004","rbcL_5","Kilo520","rbcL",150807
"289","Antennaria_microphylla_14004","ndhF3","Kilo520","ndhF_1318_3",160222
"290","Antennaria_microphylla_14004","ndhF2","Alpha40","ndhF_803_1318",160222
"291","Antennaria_microphylla_14004","trnLF","Hotel338","trnL_cf",141219
"292","Antennaria_microphylla_14004","ITS","Foxtrot243","ITS",141219
"293","Antennaria_microphylla_14004","matK","Alpha40","matK_1F_4R",160222
"294","Antennaria_microphylla_14004","trnT","Golf328","trn_ab",150807
"295","Antennaria_microphylla_14004","ndhF","Kilo520","ndhF_5_803",160222
"296","Antennaria_microphylla_14004","atpB","Alpha40","atpB_S1494R_S611",160222
"297","Antennaria_microphylla_14004","matK2","Kilo520","matK_3F_3R",160222
"298","Antennaria_microphylla_14348","matK","Echo225","matK_1F_4R",160222
"299","Antennaria_microphylla_14348","ndhF3","Golf321","ndhF_1318_3",160222
"300","Antennaria_microphylla_14348","atpB","Echo225","atpB_S1494R_S611",160222
"301","Antennaria_microphylla_14348","matK2","Golf321","matK_3F_3R",160222
"302","Antennaria_microphylla_14348","ndhF2","Echo225","ndhF_803_1318",160222
"303","Antennaria_microphylla_14348","trnT","Charlie129","trn_ab",150807
"304","Antennaria_microphylla_14348","atpB2","Golf321","atpB_S766R_S3",160222
"305","Antennaria_microphylla_14348","rbcL_5","Golf321","rbcL",150807
"306","Antennaria_microphylla_14348","ITS","Alpha39","ITS",150807
"307","Antennaria_microphylla_14348","trnLF","Charlie133","trn_cf",150807
"308","Antennaria_microphylla_14348","ndhF","Golf321","ndhF_5_803",160222
"309","Antennaria_rosea_14273","ndhF2","Delta147","ndhF_803_1318",160222
"310","Antennaria_rosea_14273","ndhF","Juliett435","ndhF_5_803",160222
"311","Antennaria_rosea_14273","rbcL_5","Juliett435","rbcL",150807
"312","Antennaria_rosea_14273","trnT","Bravo51","trn_ab",150807
"313","Antennaria_rosea_14273","atpB2","Juliett435","atpB_S766R_S3",160222
"314","Antennaria_rosea_14273","atpB","Delta147","atpB_S1494R_S611",160222
"315","Antennaria_rosea_14273","matK2","Juliett435","matK_3F_3R",160222
"316","Antennaria_rosea_14273","ndhF3","Juliett435","ndhF_1318_3",160222
"317","Antennaria_rosea_14273","trnLF","Bravo55","trn_cf",150807
"318","Antennaria_rosea_14273","matK","Delta147","matK_1F_4R",160222
"319","Antennaria_rosea_14273","ITS","Juliett446","ITS",150807
